	video_id	title	channel_title	category_id	category	publish_time	tags	views	likes	dislikes	comment_count	description
10	qrMK_l3RZmw	재혼했고 남편이 자기 의붓자식과 장모한테 용돈 못 쏟아주면 이혼하라는 김치 와이프 카톡 [피피 톡톡]	피피 톡톡	24	Entertainment	2019-01-22T03:15:31.000Z	카톡|역관광|참교육|교육|개사이다|결혼|역관광 최후|재혼|장모|돈|이혼|남편|김치|와이프|김치 와이프|의붓자식|자식|용돈|여우년|무개념|피피 톡톡 #YOUTUBE	10432	24	8	10	"재혼했고 남편이 자기 의붓자식과 장모한테 용돈 못 쏟아주면 이혼하라는 김치 와이프 카톡 [피피 톡톡] 
----------------------------------
안녕하세요 피피 톡톡입니다.
좋아요 버튼 한번씩만 눌러주시면 저에게 큰 힘이 됩니다
구독은 사랑입니다
여러분의 다채로운 이야기를 제보 해주세요
제보 : ynni1008@gmail.com
즐거운 하루 보내시길 바랍니다
매일 업데이트 되는 꾸준함
실시간 제보, 익명 제보 받습니다, 원본 혹은 재구성해서 업로드 합니다
업로드 된 모든영상에 나오는 대화내용은 피피 톡톡에게 콘텐츠저작권이 있음을 강력하게밝힙니다.
▶따라서 저작권신고를 할 수 있는 권한이 제작자외에 아무도 없으며,
 악의적인신고, 허위신고시 강력한 법적조치를 진행합니다.
▶만약 문제가 있으면 이메일으로 연락해 주세요, 댓글으로 연락하면 못 읽을 수도 있으니까요
#카톡 #피피톡톡"
11	tLCB6_2cXYc	[NU'EST W] L.O.Λ.E RECORD EP.5	NU'EST	10	Music	2017-11-10T14:00:03.000Z	L.O.Λ.E RECORD|러브레코드|LOVE RECORD|뉴이스트W|NU'EST|뉴이스트|NU'EST W|JR|백호|아론|렌|플레디스엔터테인먼트	176130	13304	24	663	"[NU'EST W] L.O.Λ.E RECORD EP.5
#뉴이스트W #NUEST_W #LOVE_RECORD


Pledis Official Homepage: http://www.pledis.co.kr/
NU'EST Official Facebook: https://www.facebook.com/pledisnuest
NU'EST Official Twitter: https://twitter.com/nuestnews
NU'EST Official Fancafe: http://cafe.daum.net/nuest


ⓒ Pledis Entertainment. All Rights Reserved"
12	0zy-Kp_zywU	THE SECRET LIFE OF PETS 2: All NEW Trailers (2019)	FilmSelect Trailer	24	Entertainment	2019-01-31T16:09:09.000Z	trailer|movie|filmselect|2019|THE SECRET LIFE OF PETS 2|the secret life of pets 2 trailer|animated movie|pets|illumination studios|universal pictures|snowball|kevin hart	10207095	87428	3101	3265	All Trailers for THE SECRET LIFE OF PETS 2
13	_7lhKCwbC44	MAMAMOO Special / 마마무 스페셜 [2017 KBS Song Festival | 2017 KBS 가요대축제 / 2017.12.29]	KBS World TV	24	Entertainment	2017-12-29T20:35:51.000Z	KBS|KBSWorld|eng sub|eng|sub|kbs live|kbs on air|kbs world live|korean drama|news|드라마|실시간tv|실시간뉴스|실시간|2017 KBS song Festival|song festival|kbs song festival|k-pop|korea music|music|BTS|방탄소년단|seventeen|EXO|Wanna One|Red Velvet|GFRIEND|TWICE|MAMAMOO|HyunA|Hwang ChiYeul|kpop|아이돌|festival|KBS 가요대축제|가요대축제|가요|gayo|kbs song festival 2017|kbs song festival mamamoo|Mr.Ambiguous|Piano Man|Um OH Ah YEH|Hit song medley|kbs song festival 2017 mamamoo	388078	12816	74	694	"* MAMAMOO : 마마무
- Mr.Ambiguous
- Piano Man
- Um OH Ah YEH
- Hit song medley
------------------------------------------------
[2017 KBS Song Festival | 2017 KBS 가요대축제 / 2017.12.29]
* Guest :  BTS, Seventeen, EXO, Wanna One, Red Velvet, GFRIEND, TWICE, MAMAMOO and more!!!!
* 출연진 : 방탄소년단, 세븐틴, 엑소, 워너원, 레드벨벳, 여자친구,트와이스, 마마무, 현아, 황치열 등 
------------------------------------------------
Subscribe KBS World Official YouTube: http://www.youtube.com/kbsworld
------------------------------------------------
KBS World is a TV channel for international audiences provided by KBS, the flagship public service broadcaster in Korea. Enjoy Korea's latest and the most popular K-Drama, K-Pop, K-Entertainment & K-Documentary with multilingual subtitles by subscribing KBS World official YouTube.
------------------------------------------------
대한민국 대표 해외채널 KBS World를 유튜브에서 만나세요. KBS World는 전세계 시청자에게 재미있고 유익한 한류 콘텐츠를 멀티 자막과 함께 제공하는 No.1 한류 채널입니다. KBS World 유튜브 채널을 구독하고 최신 드라마, K-Pop, 예능, 다큐멘터리 정보를 받아보세요. 
------------------------------------------------
[Visit KBS World Official Pages]
Homepage: http://www.kbsworld.co.kr 
Facebook: http://www.facebook.com/kbsworld
Twitter: http://twitter.com/kbsworldtv 
Instagram: @kbsworldtv
Line: @kbsworld_asia
KakaoTalk: @kbs_world (http://plus.kakao.com/friend/@kbs_world)
Google+: http://plus.google.com/+kbsworldtv

[Download KBS World Application] 
■ IOS Download : http://apple.co/1NktctW 
■ Android Download : http://bit.ly/1NOZFKr"
14	n-o2PWDEVQ8	[영화걸작선] 1회 - 목숨 건 연애	거의없다	1	Film & Animation	2017-01-25T07:04:29.000Z	데마시안|demasian|거의없다|없다|걸작선|망한영화|영화걸작선|무비|리뷰|한국영화|해외영화|movie|review|트레일러|trailer|스포|욕설|망작|목숨건연애|목숨 건 연애|하지원|영화리뷰	285173	3097	51	290	"세계 최초 망한 영화 전문 리뷰!
스포주의/욕설주의/한숨주의
▼▼▼▼▼ 더보기! ▼▼▼▼▼ 

*프로그램 정보*
업데이트: 매주 수요일
프로그램 홈페이지: http://www.demasian.com/tv/6207"
15	5gcqvS0taUE	Toothless and his Kids visit New Berk Scene - HOW TO TRAIN YOUR DRAGON: Homecoming (2019)	KinoCheck International	24	Entertainment	2019-11-25T20:41:46.000Z	How to Train Your Dragon Homecoming|trailer|2019|Movie|KinoCheck|How to Train Your Dragon Homecoming trailer|Animation|Jay Baruchel|America Ferrera|Gerard Butler|How|Train|Your|Dragon|Homecoming	1275623	16596	326	495	"Official How to Train Your Dragon: Homecoming ""Toothless and his Kids visit New Berk"" Movie Clip 2019 | Subscribe ➤ http://abo.yt/ki | Jay Baruchel Movie Trailer | Release: 3 Dec 2019 on NBC | More https://KinoCheck.com/film/y5d/how-to-train-your-dragon-homecoming-2019
It's been ten years since the dragons moved to the Hidden World, and even though Toothless doesn't live in New Berk anymore, Hiccup continues the holiday traditions he once shared with his best friend. But the Vikings of New Berk were beginning to forget about their friendship with dragons. Hiccup, Astrid, and Gobber know just what to do to keep the dragons in the villagers' hearts. And across the sea, the dragons have a plan of their own...

How to Train Your Dragon: Homecoming (2019) is the new animation movie starring Jay Baruchel, America Ferrera and Gerard Butler.

Note | #HowtoTrainYourDragon #Homecoming #Clip courtesy of Universal Pictures. | All Rights Reserved. | #KinoCheck®"
16	rXxXuQsU3cg	미친단맛!! 미국도넛 먹방ㅋㅋㅋㅋ (마지막주의) [ 꾹TV ]	꾹TV(Kkuk TV)	24	Entertainment	2018-04-28T11:33:23.000Z	도넛|도너츠|빵|미국|맛집|LA|아이언맨|이쁜|음식|Randy'sDonuts|CaliforniaDounts|BlueStar|꿀잼|예능|개그|리뷰|레전드|재미|추천|인기동영상|꾹tv도넛|꾹tv도너츠|꾹tv빵|꾹tv미국|꾹tv맛집|꾹tvLA|꾹tv아이언맨|꾹tv이쁜|꾹tv음식|꾹tvRandy'sDonuts|꾹tvCaliforniaDounts|꾹tvBlueStar|꾹tv꿀잼|꾹tv예능|꾹tv개그|꾹tv리뷰|꾹tv레전드|꾹tv재미|꾹tv추천|꾹tv인기동영상|꾹도넛|꾹도너츠|꾹빵|꾹미국|꾹맛집|꾹LA|꾹아이언맨|꾹이쁜|꾹음식|꾹Randy'sDonuts|꾹CaliforniaDounts|꾹BlueStar|꾹꿀잼|꾹예능|꾹개그|꾹리뷰|꾹레전드|꾹재미|꾹추천|꾹인기동영상|장난감|장난|TOY|toy|꾹tv|꾹|꾹이|RNr|RNrTV|꾹티비|티비|뀩|kkuktv|kkuk	1766052	16931	804	3892	"반가워요! 꾹TV(KKUK TV)입니다.
꾹TV일상채널 구독하기 http://goo.gl/CFF7ro?sub_confirmation=1 
구독=재미,입담 UP! UP!!
*꾹TV 인스타그램 : //www.instagram.com/kkuktv/
*꾹TV크루 팬카페 : http://cafe.naver.com/teamkkuk

오늘은 얼마전 미국LA에 다녀오면서 촬영했던!
미국에 도넛 맛짐 3곳을 돌아다니면서ㅋㅋ
구입해온 도넛을 먹어봤어요!
미국 도넛은 맛이 어떨까요!?
영상으로 확인해주세요^^

초대박! 1400만원 아이언맨슈트 입어보기 영상 https://youtu.be/-W5D7z9abds

사이코패스 변신 도미네이터 150만원영상! https://youtu.be/w8jIAcsK6nQ

포켓몬스터 황금딱지 한박스 뽑기!!! 영상 https://youtu.be/ojP3pcJFL

똥 몰래카메라! 꾹TV똥을 본 여직원 반응은? https://youtu.be/7DujVS6VDHI

옛날통닭먹방 https://youtu.be/9w8uXqT5hR4

킨더조이 한정판 쿵푸팬더3 편의점 싹쓸이 까기! 1탄 https://youtu.be/95NddzP4BEs

액체괴물 만들기 첫 도전기!! (우유컨셉?) 영상 https://youtu.be/6KS4jhARhYk

강력한 공기를 발사! 에어바주카 장난감! https://youtu.be/gICboPHUMAo

고퀄리티 포켓몬스터 피규어뽑기!! (매맞는 꾹이..)편 영상 https://youtu.be/6LiqiMNoZhY

레고 넥소나이츠 신제품 배틀블래스터조립!(상황극)편 영상 https://youtu.be/7Huu2oTCISE

신제품 레고 마인크래프트 '아이언골렘' 조립(상황극)편영상 https://youtu.be/40QvJXZ4pNw

구독해주시면 발전하는 모습 보여드릴께요^^
감사합니다."
17	7-HRQA2FYBU	Top 13 BEST Upcoming KIDS & ANIMATION Movies in 2018 / 2019! (All Trailers)	Entertainment Access	24	Entertainment	2018-06-16T13:00:00.000Z	Trailer|2018|Best|Upcoming|Animation|Kids|Family|Official|Movie|Film|HD|Full Movie|Entertainment Access|How To Train Your Dragon 3|Wreck It Ralph 2|Spiderman|The Grinch|Smallfoot|Incredibles 2|Teen Titans Go|Hotel Transylvania 3|Christopher Robin|Winnie Pooh|The Lego Movie 2|Dumbo|The Nutcracker|Mary Poppins Returns|Frozen	3397211	21013	1121	2183	"Watch the official trailer compilation for the best upcoming kids & animation movies in 2018 and 2019, including How To Train Your Dragon 3, Wreck It Ralph 2 & The Lego Movie 2.

00:02 How To Train Your Dragon 3
02:23 Wreck It Ralph 2
04:47 The Nutcracker and the Four Realms
06:28 Christopher Robin (Winnie Pooh)
08:53 Teen Titans Go To The Movies
11:17 Hotel Transylvania 3
13:43 Mary Poppins Returns
15:17 The Lego Movie 2
17:41 Spider-Man Into the Spider-Verse
20:05 The Grinch
22:21 Smallfoot
24:42 Incredibles 2
26:58 Dumbo

© Entertainment Access"
18	T8SzYeMg2TI	잘 먹는 여자가 예쁜 이유 남자가 반하는 순간	humor유머	22	People & Blogs	2017-08-07T05:35:18.000Z	커플|연애|사랑|달달	1870998	3143	127	498	
19	vy3bRQzkqi4	4대강 망발 시리즈3, 독일 하천학자?(박석순교수의 진짜 환경이야기; 1월2일)	펜앤드마이크TV	25	News & Politics	2018-01-02T04:23:04.000Z	정규재티비|정규재TV|jkj|정규재뉴스|시사|경제|국제|4대강|박석순|이화여대|환경부|국립환경과학원	27717	944	17	51	독일 하천학자라는 자가 국내에 들어와 4대강 사업에 대해 각종 엉터리 발언을 한 적이 있습니다. 우리나라 국토부에서 낸 반박 보도에 근거하여 그 내용을 독일 사례와 함께 얼마나 엉터리인지 설명합니다. 아울러 유럽의 수로 운송과 지난 1992년에 완공한 RMD(라인-마인도-나우) 운하에 관해 설명합니다. 왜 21세기에 유럽과 미국은 수로 운송을 장려하는지를 알아봅니다.
20	EZo9tgqXFjI	↖1년 수입만 50억 원↗ 그런데 4천만 원 안 갚아 피소된 래퍼 도끼?! | 풍문으로 들었쇼 216회 다시보기	채널A Home	24	Entertainment	2019-12-02T16:03:12.000Z	풍문으로들었쇼|풍문쇼|스캔들|찌라시|연예계사건사고|도끼|미납|래퍼|힙합	31149	85	9	27	"악세서리 외상 금액은 무려 2억 4,700만 원ㄷㄷ
하지만 미납금이 있는 상태에서
도끼는 연락이 두절됐다...?

■ 풍문으로 들었쇼

풍문으로 들었쇼, 더 많은 클립 영상은 https://bit.ly/2rDyw7I
♥ Full VOD 광고 없이 다시보기 ♥
공식 홈페이지: https://bit.ly/2A5peWG
네이버 N스토어: https://bit.ly/2GpBreq

풍문으로 들었쇼 매주(월) 밤 11시 20분 방송"
21	tLK2yi9XfW8	[[우리집에왜왔니?]]박준우와 프렌치 딸기 디저트를!!How to make simple French dessert!	국가비 GabieKook	24	Entertainment	2015-01-19T23:00:07.000Z	국가비|국가비 마셰코|우리 집에 왜 왔니|마셰코3|마셰코|마셰코 준우승|마셰코 결승|Gabiekook|Gabie Kook|박준우|박준우 타르트|박준우 디저트|디저트|디저트 만드는 방법|딸기 디저트|딸기|딸기 디저트 만드는 방법|국가비 박준우|How to make dessert|프렌치|불어|프렌치 드저트|How to make creme diplomate|How to make French dessert|French|Korean French|Dessert (Industry)|Food (TV Genre)|Strawberry (Food)|Verrines|Verrine recette|recette dessert|디저트 레시피|dessert recipe|recipe show	257319	2294	41	160	"박준우dessert cafe: 오쁘띠베르/Aux Petits Verres(서울 서촌/Seoul)
Follow me!:
Instagram: http://instagram.com/gabiekook
Facebook:https://www.facebook.com/gabiekookpage"
22	Ee2Z7qQinPo	[김정민의자연사박물관] 대한독립군 해체부터 삼성해체까지 끝나지 않은 역사전쟁! 비하인드 스토리 공개	글로벌디펜스뉴스	25	News & Politics	2018-03-20T13:03:57.000Z	디펜스|디펜스뉴스|글로벌디펜스뉴스|김정민|자연사|자연사박물관|김정민 자연사박물관|국제전략연구소|김정민 국제전략연구소|시진핑|트럼프|아베|만주회복|국제전략|중국|인육|중국인육|식인|조재현|안희정|김정은|북폭|문재인|고구려|정봉주|강경화|조원진|대한애국당|자유한국당|더불어민주당|더듬어민주당|수나라|당나라|중공|미군|중국공산당|공산당|민주당	35658	3373	36	192	"[글로벌디펜스뉴스 후원하기]
계좌 : 018-156778-01-010(은행:기업,  예금주: 글로벌디펜스워치)
정기후원 : https://www.ihappynanum.com/Nanum/B/2BTF99MYNR



[김정민 국제전략연구소 후원하기 ]
1. 후원계좌 : 892-50544-264-01 (예금주: 김정민 / 은행: 시티은행)
2. 페이팔 :  gdwatch21@gmail.com"
23	ZKNCTuYgUDs	[NU'EST W] L.O.Λ.E RECORD EP.7	NU'EST	10	Music	2017-11-24T14:00:03.000Z	L.O.Λ.E RECORD|러브레코드|LOVE RECORD|뉴이스트W|NU'EST W|뉴이스트|NU'EST|JR|백호|아론|렌|플레디스엔터테인먼트	131828	9300	24	635	"[NU'EST W] L.O.Λ.E RECORD EP.7
#뉴이스트W #NUEST_W #LOVE_RECORD


Pledis Official Homepage: http://www.pledis.co.kr/
NU'EST Official Facebook: https://www.facebook.com/pledisnuest
NU'EST Official Twitter: https://twitter.com/nuestnews
NU'EST Official Fancafe: http://cafe.daum.net/nuest


ⓒ Pledis Entertainment. All Rights Reserved"
